,input,answer,predict,judge
0,COc1c(CNC(CNc2cc([N+]([O-])=O)cc(F)c2)=O)c(OC)cc(OC)c1,COc1cc(OC)c(CNC(=O)CNc2cc(F)cc([N+](=O)[O-])c2)c(OC)c1,COc1cc(OC)c(CNC(=O)CNc2cc(F)cc([N+](=O)[O-])c2)c(OC)c1,True
1,c1ccc([C@@H](C(=O)N2C[C@H]3COC[C@H]([C@H]3NC(=O)c3cccc(Cl)c3OC)C2)[C@H](C)CC)cc1,CC[C@@H](C)[C@H](C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)c1cccc(Cl)c1OC)c1ccccc1,CC[C@@H](C)[C@H](C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)c1cccc(Cl)c1OC)c1ccccc1,True
2,[C@@H]1(c2cnccc2)N(C(c2nc(C)oc2C(F)(F)F)=O)CC[C@H]1CNC(=O)c1c2c(ccc1)cco2,Cc1nc(C(=O)N2CC[C@@H](CNC(=O)c3cccc4ccoc34)[C@@H]2c2cccnc2)c(C(F)(F)F)o1,Cc1nc(C(=O)N2CC[C@@H](CNC(=O)c3cccc4ccoc34)[C@@H]2c2cccnc2)c(C(F)(F)F)o1,True
3,C(C(=O)N1[C@@](CCC)(CO)CCC1)(N1C[C@H]2[C@H]([C@@H](N)CCC2)C1)=O,CCC[C@]1(CO)CCCN1C(=O)C(=O)N1C[C@H]2[C@@H](N)CCC[C@H]2C1,CCC[C@]1(CO)CCCN1C(=O)C(=O)N1C[C@@H]2CCC[C@H](N)[C@H]2C1,False
4,O(C)c1ccc(Cl)cc1-n1cc(S(NCCCCN(c2ccccc2)C)(=O)=O)cn1,COc1ccc(Cl)cc1-n1cc(S(=O)(=O)NCCCCN(C)c2ccccc2)cn1,COc1ccc(Cl)cc1-n1cc(S(=O)(=O)NCCCCN(C)c2ccccc2)cn1,True
5,C(=O)(COc1c(C)cccc1C)NCc1ccnc(OC)n1,COc1nccc(CNC(=O)COc2c(C)cccc2C)n1,COc1nccc(CNC(=O)COc2c(C)cccc2C)n1,True
6,n1cnn(CCF)c1CN1CCn2ncnc2C1,FCCn1ncnc1CN1CCn2ncnc2C1,FCCn1ncnc1CN1CCn2ncnc2C1,True
7,OC(=O)c1c(N)c(OC)ccc1Br,COc1ccc(Br)c(C(=O)O)c1N,COc1ccc(Br)c(C(=O)O)c1N,True
8,c1c(C(O[C@@H](C(=O)N[C@H]2CS(=O)(=O)CC2)C(C)C)=O)c2ccccc2nc1-c1ccccc1,CC(C)[C@@H](OC(=O)c1cc(-c2ccccc2)nc2ccccc12)C(=O)N[C@@H]1CCS(=O)(=O)C1,CC(C)[C@@H](OC(=O)c1cc(-c2ccccc2)nc2ccccc12)C(=O)N[C@@H]1CCS(=O)(=O)C1,True
9,N(C(=O)c1n2c(nccc2)nc1)C[C@@]12CCCO[C@@H]1CCN(C([C@@]1(F)CCCCC1(F)F)=O)C2,O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@]1(F)CCCCC1(F)F)C2)c1cnc2ncccn12,O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@]1(F)CCCCC1(F)F)C2)c1cnc2ncccn12,True
10,FC(F)Sc1ccc(NS(c2cccc(F)c2C)(=O)=O)cc1,Cc1c(F)cccc1S(=O)(=O)Nc1ccc(SC(F)F)cc1,Cc1c(F)cccc1S(=O)(=O)Nc1ccc(SC(F)F)cc1,True
