,input,answer,predict,judge
0,COc1c(CNC(CNc2cc([N+]([O-])=O)cc(F)c2)=O)c(OC)cc(OC)c1,COc1cc(OC)c(CNC(=O)CNc2cc(F)cc([N+](=O)[O-])c2)c(OC)c1,COc1cc(OC)c(OC)c(CNC(=O)CNc2cc(F)cc([N+](=O)[O-])c2)c1,False
1,C(CC(N1C[C@H]2[C@H](CN(C([C@H](CCC)CC)=O)C2)C1)=O)CC#C,C#CCCCC(=O)N1C[C@H]2CN(C(=O)[C@@H](CC)CCC)C[C@H]2C1,C#CCCCC(=O)N1C[C@@H]2CN(C(=O)[C@@H](CC)CCC)C[C@@H]2C1,False
2,c12ccccc1C(COC(=O)NC[C@@H](C(=O)NCCF)C)c1ccccc1-2,C[C@@H](CNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NCCF,C[C@@H](CNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NCCF,True
3,n1c2c(NCCN(C)C(=O)c3nn(C)c(C)c3)nc[nH]c-2nc1,Cc1cc(C(=O)N(C)CCNc2nc[nH]c3ncnc2-3)nn1C,Cc1cc(C(=O)N(C)CCNc2nc[nH]c3ncnc2-3)nn1C,True
4,C1N(CC)C[C@]2(CN(C(=O)C[C@H]3C=CCC3)CCCC2)C1,CCN1CC[C@]2(CCCCN(C(=O)C[C@H]3C=CCC3)C2)C1,CCN1CC[C@]2(CCCCN(C(=O)C[C@H]3C=CCC3)C2)C1,True
5,C1N(C([C@@H](C)n2cncn2)=O)CCO[C@]12COCCN(C(=O)[C@@H]1CN3[C@@H](CCC3=O)CC1)C2,C[C@H](C(=O)N1CCO[C@]2(COCCN(C(=O)[C@H]3CC[C@@H]4CCC(=O)N4C3)C2)C1)n1cncn1,C[C@H](C(=O)N1CCO[C@]2(COCCN(C(=O)[C@H]3CC[C@@H]4CCC(=O)N4C3)C2)C1)n1cncn1,True
6,Cc1cc(C)ccc1NC([C@@H](N)[C@H](CC)C)=O,CC[C@H](C)[C@H](N)C(=O)Nc1ccc(C)cc1C,CC[C@H](C)[C@H](N)C(=O)Nc1ccc(C)cc1C,True
7,C1N(c2c3c(C)noc3ncn2)CC[C@@H](C)[C@H]1C,Cc1noc2ncnc(N3CC[C@@H](C)[C@@H](C)C3)c12,Cc1noc2ncnc(N3CC[C@@H](C)[C@@H](C)C3)c12,True
8,CC(CN[C@H]1C[C@H](NC(c2conc2C(F)(F)F)=O)C12CCC2)C,CC(C)CN[C@H]1C[C@H](NC(=O)c2conc2C(F)(F)F)C12CCC2,CC(C)CN[C@H]1C[C@H](NC(=O)c2conc2C(F)(F)F)C12CCC2,True
9,c1(OC)c(F)c(C)ccc1-c1cc(F)cc(F)c1F,COc1c(-c2cc(F)cc(F)c2F)ccc(C)c1F,COc1c(-c2cc(F)cc(F)c2F)ccc(C)c1F,True
10,O1C[C@@H]2CN(C(c3cnn(C(C)(C)C)c3)=O)C[C@@H]([C@H]2NC([C@@H]2CN3C(=O)CC[C@@H]3CC2)=O)C1,CC(C)(C)n1cc(C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)[C@H]2CC[C@H]3CCC(=O)N3C2)cn1,CC(C)(C)n1cc(C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)[C@H]2CC[C@H]3CCC(=O)N3C2)cnn1)[C@H]1CCC[C@H](C(=O)N[C@@H]2CCC[C@@H](C(=O)N[C@@H]3CCC[C@@H](C(=O)N[C@H]3CC[C@@H]3C(=O)N3C[C@@H]2C[C@@H]2C(=O)N[C@@H]2CS(=O)(,False
11,C1C(NC2(c3ccc(Br)cc3)COC2)CCCC1,Brc1ccc(C2(NC3CCCCC3)COC2)cc1,Brc1ccc(C2(NC3CCCCC3)COC2)cc1,True
