model,seed,tok_len,is_perfect,answer,predict,answer_tok,predict_tok
GRU,1,5,1,C=CCN,C=CCN,"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N']"
GRU,2,5,0,C=CCN,C=CCNC(=O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'c', '1', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', 'c', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,3,5,0,C=CCN,C=CCNC(=O)[C@@H]1[C@H]2CC[C@@H](C2)[C@@H]1C(=O)O,"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '2', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', '2', ')', '[', 'C', '@@', 'H', ']', '1', 'C', '(', '=', 'O', ')', 'O']"
GRU,1,7,0,c1cnoc1,[C@@H]1CCC(=O)[C@H]1n1ccnc1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'C', '(', '=', 'O', ')', '[', 'C', '@', 'H', ']', '1', 'n', '1', 'c', 'c', 'n', 'c', '1']"
GRU,2,7,0,c1cnoc1,c1coc([C@@H]2CC[C@H](C(=O)O)[C@@H]2C(C)(C)c2ccno2)c1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['c', '1', 'c', 'o', 'c', '(', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'O', ')', '[', 'C', '@@', 'H', ']', '2', 'C', '(', 'C', ')', '(', 'C', ')', 'c', '2', 'c', 'c', 'n', 'o', '2', ')', 'c', '1']"
GRU,3,7,0,c1cnoc1,O=[N+]([O-])c1ccon1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['O', '=', '[', 'N', '+', ']', '(', '[', 'O', '-', ']', ')', 'c', '1', 'c', 'c', 'o', 'n', '1']"
GRU,1,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
GRU,1,8,0,CCCCOCCO,CCCCO[C@@H](CO)C1CC1,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', '[', 'C', '@@', 'H', ']', '(', 'C', 'O', ')', 'C', '1', 'C', 'C', '1']"
GRU,2,8,0,CNCC(F)F,CNCC(F)(F)C(=O)N[C@@H]1CC[C@H]1C,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', '(', 'F', ')', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '[', 'C', '@', 'H', ']', '1', 'C']"
GRU,2,8,0,CCCCOCCO,CCCCOCCOc1cc([N+](=O)[O-])ccc1F,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O', 'c', '1', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', 'c', 'c', '1', 'F']"
