,canonical,random
0,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1,CCN1CCN(c2c(Cl)cc(NC(=O)CCC)cc2)CC1
1,O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3,C(O)CCN(Cc1cc2cc3c(cc2[nH]c1=O)OCO3)Cc1nnnn1Cc1ccc(F)cc1
2,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,c1(=O)sc2c(ccc(N(C(=O)C)S(=O)(c3sccc3)=O)c2)o1
3,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,O(c1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1)C
4,CC(=O)Nc1cccc(NC(=O)C2CCCN2C(=O)Nc2ccccc2C)c1,N1(C(=O)Nc2ccccc2C)C(C(Nc2cccc(NC(C)=O)c2)=O)CCC1
5,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,Cc1ccc2c(c1)cc(CN(CCN1CCOCC1)C(CC)c1nnnn1CC1CCCO1)c(=O)[nH]2
6,N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,c1cccc2c1n(CC(=O)c1ccc(Cl)c(Cl)c1)c(=N)n2CCN1CCOCC1
7,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,COc1ccc(/C(=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)O)cc1
8,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,C1(C)(C)Oc2ccc(C(NC(C)(C)CC)=O)cc2N(CC(OC)=O)C1=O
9,CCc1cc2c(=O)[nH]cnc2s1,c12c(=O)[nH]cnc1sc(CC)c2
10,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,c1c2cc(-c3nnc(SCC(=O)N(CC)CC)n3CC)c(O)cc2ccc1
11,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,c1c(C)ccc2c1nnn2C1CCN(S(c2ccc(C(=O)N3C(C)CCCC3C)cc2)(=O)=O)CC1
12,N/C(=N\O)C1COc2ccccc2O1,O1c2ccccc2OC(/C(N)=N/O)C1
13,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,O1COc2ccc(Cc3nnc(SCC(NC(C)(C)C)=O)n3C3CCCCC3)cc21
14,Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,O=C(CN1CCC(n2nnc3c2ccc(C)c3)CC1)N1C(C)Cc2ccccc21
15,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,C(C)OC(CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1)=O
16,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,c1(CNC(=O)CSc2nnc3c(C)cc4c(cc(C)cc4)n32)occc1
17,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,C(c1ccccc1)S(N1CCN(C(OCC)=O)CC1)(=O)=O
18,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1
19,CCOC(=O)c1cc2sc(C)cc2n1CC(=O)N1CCN(C(=O)c2ccco2)CC1,C(OC(=O)c1cc2sc(C)cc2n1CC(N1CCN(C(c2ccco2)=O)CC1)=O)C
20,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,C(N(c1cc(C(OC(=O)C)C(NC(C)=O)C(=O)OCC)ccc1)CCO)CO
21,CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,N(C(=O)CC)c1c(C(=O)c2ccccc2)cc2c(c1)OCCO2
22,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O,c1(C(=O)C(n2c(=O)cccc2)C(=O)NCCN(C)C)ccc(F)cc1
23,Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1,c1(CCNC(C2CCN(c3nc(C)cc(C)n3)CC2)=O)ccc(F)cc1
24,CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,C1CCCCC1N1C(=O)N(C2CCCCC2)C(=O)C(=CN(C)C)C1=O
25,COC(=O)CN(c1ccccn1)S(=O)(=O)c1ccccc1,c1c(S(N(CC(=O)OC)c2ncccc2)(=O)=O)cccc1
26,CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,n1sc(C(N(c2ccc3c(c2)OCCO3)C(C)C(=O)NC2CCCC2)=O)c(N)c1C(N)=O
27,Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1,c1(NCc2ccccc2)ncc(-c2ccc3c(c2)OCO3)n1C
28,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,n1(C)c(=O)[nH]c(=O)c2n(C(C)C)c(-n3nc(C)cc3C)nc12
29,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,N#CCCSC1=NC(CCC#N)(C)C(=O)N1c1ccccc1
30,Cc1cccc(NC(=O)CSc2n[nH]c(-c3ccncc3)n2)c1,c1nccc(-c2[nH]nc(SCC(=O)Nc3cc(C)ccc3)n2)c1
31,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1,O1CCN(Cc2ccc(C(Nc3ccc(S(=O)(=O)N4CCCC4)cc3)=O)cc2)CC1
32,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,c1ccc(NC(=O)N2CCN(c3ccccc3)CC2)cc1NC(N1CCN(c2ccccc2)CC1)=O
33,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,C1(NC(CN2CCC(NC(=O)C)(c3cccc(F)c3)CC2)=O)CCCCC1
34,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,O1CCOc2cc(S(=O)(N3CCN(c4c(C)ccc(Cl)c4)CC3)=O)ccc21
35,CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C,c1(NC(=O)CSc2nnnn2C)c(C(=O)OCC)c(C)c(C)s1
36,CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,C(c1oc(C)cc1)(C1=C(O)C(=O)N(Cc2ccncc2)C1c1cc(OCC)ccc1)=O
37,CCn1c(Cc2ccccc2)nnc1SCC(=O)NC(C)(C)C,CC(NC(CSc1nnc(Cc2ccccc2)n1CC)=O)(C)C
38,CCOC(=O)c1ccc(NC(=O)C2CCCO2)cc1,C(c1ccc(NC(C2CCCO2)=O)cc1)(OCC)=O
39,CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O,c1c2c(ccc(C)c2)[nH]c(=O)c1CN(CCCO)C(C(C)C)c1nnnn1C(C)(C)CC
